epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,7064.31,0.03801,0.14981,0.88851,0.99966,1,0.995,0.99131,0.22453,0.34622,0.31821,0.003664,0.003664,0.003664
66,7165.62,0.03714,0.15057,0.88631,0.99964,1,0.995,0.99084,0.22438,0.34699,0.31779,0.003565,0.003565,0.003565
67,7266.51,0.03593,0.14486,0.8851,0.99967,1,0.995,0.99039,0.22543,0.34359,0.3181,0.003466,0.003466,0.003466
68,7367.08,inf,0.14424,0.88736,0.9997,1,0.995,0.99143,0.22816,0.34015,0.32059,0.003367,0.003367,0.003367
69,7465.85,0.03681,0.14784,0.88657,0.9997,1,0.995,0.9927,0.22787,0.338,0.31979,0.003268,0.003268,0.003268
70,7563.82,0.03472,0.14135,0.88647,0.9997,1,0.995,0.99247,0.22808,0.33772,0.3198,0.003169,0.003169,0.003169
71,7655,inf,0.14033,0.88684,0.9997,1,0.995,0.99191,0.22801,0.33851,0.31978,0.00307,0.00307,0.00307
72,7746.38,0.03328,0.14042,0.88578,0.9997,0.99998,0.995,0.99153,0.22754,0.33878,0.31963,0.002971,0.002971,0.002971
73,7836.02,0.03331,0.13509,0.88553,0.99973,0.99999,0.995,0.99164,0.22716,0.34082,0.31871,0.002872,0.002872,0.002872
74,7926.59,inf,0.13173,0.88801,0.99969,0.99999,0.995,0.99149,0.22738,0.3398,0.31882,0.002773,0.002773,0.002773
75,8016.4,0.03265,0.13474,0.88645,0.99966,1,0.995,0.99083,0.22764,0.33983,0.31881,0.002674,0.002674,0.002674
76,8107.29,0.03145,0.13081,0.8852,0.99967,0.99998,0.995,0.99029,0.22689,0.34098,0.31769,0.002575,0.002575,0.002575
77,8197.92,0.03169,0.12843,0.88474,0.99967,1,0.995,0.98963,0.22646,0.3413,0.31703,0.002476,0.002476,0.002476
78,8288.26,0.03069,0.12866,0.88568,0.99966,1,0.995,0.98912,0.22689,0.34274,0.31705,0.002377,0.002377,0.002377
79,8378.5,0.03005,0.1278,0.88467,0.99964,1,0.995,0.98886,0.22745,0.34291,0.3173,0.002278,0.002278,0.002278
80,8468.95,inf,0.12671,0.88621,0.99961,1,0.995,0.98856,0.22712,0.343,0.31646,0.002179,0.002179,0.002179
81,8558.88,0.02902,0.12346,0.8875,0.99961,1,0.995,0.98886,0.22685,0.34413,0.31572,0.00208,0.00208,0.00208
82,8648.13,0.02801,0.11821,0.88541,0.99961,1,0.995,0.98838,0.22663,0.34442,0.31507,0.001981,0.001981,0.001981
83,8738.74,inf,0.122,0.88447,0.99961,1,0.995,0.98754,0.22654,0.34468,0.31464,0.001882,0.001882,0.001882
84,8825.24,0.02711,0.11925,0.88498,0.9996,1,0.995,0.98709,0.22647,0.34435,0.31433,0.001783,0.001783,0.001783
85,8910.48,0.02675,0.11262,0.8854,0.9996,1,0.995,0.98618,0.22616,0.34359,0.31325,0.001684,0.001684,0.001684
86,8996.38,inf,0.11244,0.88188,0.99963,1,0.995,0.98493,0.22562,0.34435,0.31204,0.001585,0.001585,0.001585
87,9085.43,0.02559,0.11188,0.88539,0.99966,1,0.995,0.98468,0.22507,0.34533,0.31107,0.001486,0.001486,0.001486
88,9173.62,inf,0.10929,0.8847,0.99966,1,0.995,0.9842,0.2246,0.3466,0.31027,0.001387,0.001387,0.001387
89,9262.23,0.02362,0.10378,0.88369,0.99966,1,0.995,0.9844,0.22402,0.34713,0.30939,0.001288,0.001288,0.001288
90,9350.95,inf,0.10584,0.88479,0.99966,1,0.995,0.98476,0.22337,0.34765,0.3086,0.001189,0.001189,0.001189
91,9454.89,0.02292,0.04161,0.90046,0.99966,1,0.995,0.98593,0.22296,0.34745,0.30783,0.00109,0.00109,0.00109
92,9542.89,0.01946,0.03132,0.89896,0.99963,1,0.995,0.98612,0.22268,0.34817,0.30744,0.000991,0.000991,0.000991
93,9630.94,0.01767,0.0272,0.89781,0.99963,1,0.995,0.9874,0.22236,0.34853,0.30691,0.000892,0.000892,0.000892
94,9718.87,0.01672,0.02572,0.89776,0.99963,1,0.995,0.98829,0.22209,0.34882,0.30646,0.000793,0.000793,0.000793
95,9807.65,0.01544,0.02401,0.89672,0.99969,1,0.995,0.98941,0.22157,0.34916,0.30591,0.000694,0.000694,0.000694
96,9895.74,0.0146,0.02321,0.89675,0.99975,1,0.995,0.99044,0.22099,0.3495,0.30513,0.000595,0.000595,0.000595
97,9984.14,inf,0.02191,0.89832,0.99975,1,0.995,0.99091,0.22033,0.35011,0.3043,0.000496,0.000496,0.000496
98,10072,0.01246,0.02037,0.89648,0.99979,1,0.995,0.99187,0.21969,0.35049,0.30341,0.000397,0.000397,0.000397
99,10160.4,0.01184,0.01928,0.89691,0.99979,1,0.995,0.99255,0.21907,0.35091,0.30243,0.000298,0.000298,0.000298
100,10248.4,0.01092,0.01828,0.89631,0.99979,1,0.995,0.99319,0.21849,0.35153,0.30142,0.000199,0.000199,0.000199
