epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,3140.56,0.75797,1.79538,1.15971,0.7309,0.32693,0.38129,0.32835,0.71147,1.91062,1.21769,8.36608e-05,8.36608e-05,8.36608e-05
70,3185.66,0.77988,1.84729,1.16847,0.68434,0.3258,0.37791,0.32569,0.7199,1.9099,1.217,8.11264e-05,8.11264e-05,8.11264e-05
71,3226.99,0.77157,1.80361,1.15772,0.79255,0.32352,0.38567,0.33027,0.70441,1.90114,1.2043,7.8592e-05,7.8592e-05,7.8592e-05
72,3267.49,0.77743,1.86346,1.15949,0.77502,0.31876,0.39269,0.33607,0.71295,1.89311,1.21409,7.60576e-05,7.60576e-05,7.60576e-05
73,3308.77,0.77755,1.79165,1.16051,0.68006,0.32667,0.38497,0.32921,0.71395,1.89484,1.21163,7.35232e-05,7.35232e-05,7.35232e-05
74,3347.93,0.76747,1.80065,1.15864,0.84617,0.31086,0.38525,0.33141,0.70594,1.88842,1.21207,7.09888e-05,7.09888e-05,7.09888e-05
75,3386.12,0.78027,1.80919,1.16801,0.85296,0.30896,0.37983,0.32723,0.71628,1.87739,1.21838,6.84544e-05,6.84544e-05,6.84544e-05
76,3421.96,0.76723,1.81337,1.15805,0.78796,0.31595,0.38553,0.33378,0.70378,1.87989,1.21327,6.592e-05,6.592e-05,6.592e-05
77,3462.94,0.74174,1.7262,1.14146,0.64655,0.33346,0.38629,0.3318,0.70305,1.87383,1.20935,6.33856e-05,6.33856e-05,6.33856e-05
78,3504.4,0.77373,1.78684,1.16212,0.86837,0.3054,0.39549,0.33946,0.70978,1.87303,1.21852,6.08512e-05,6.08512e-05,6.08512e-05
79,3544.3,0.76284,1.79498,1.14539,0.62537,0.33125,0.38195,0.33035,0.70589,1.86336,1.21103,5.83168e-05,5.83168e-05,5.83168e-05
80,3582.21,0.76048,1.78636,1.1578,0.63707,0.33804,0.3837,0.33048,0.70239,1.85897,1.21184,5.57824e-05,5.57824e-05,5.57824e-05
81,3621.69,0.76819,1.752,1.15678,0.61864,0.3362,0.38117,0.33021,0.70903,1.85767,1.21585,5.3248e-05,5.3248e-05,5.3248e-05
82,3662.92,0.75358,1.77145,1.14329,0.6424,0.34057,0.3893,0.33545,0.70228,1.84897,1.20884,5.07136e-05,5.07136e-05,5.07136e-05
83,3704.01,0.75855,1.78034,1.13489,0.6324,0.34064,0.39029,0.33657,0.6963,1.84796,1.20649,4.81792e-05,4.81792e-05,4.81792e-05
84,3744.98,0.74492,1.77219,1.13961,0.63521,0.33346,0.38939,0.33543,0.69827,1.84876,1.20989,4.56448e-05,4.56448e-05,4.56448e-05
85,3785.8,0.7451,1.77087,1.14831,0.65094,0.33365,0.38616,0.33273,0.69885,1.84501,1.20969,4.31104e-05,4.31104e-05,4.31104e-05
86,3827.32,0.74414,1.74428,1.14287,0.61588,0.33637,0.38908,0.33554,0.69591,1.84892,1.20652,4.0576e-05,4.0576e-05,4.0576e-05
87,3868.63,0.75108,1.74159,1.14542,0.63227,0.33101,0.38574,0.33165,0.71429,1.8347,1.21974,3.80416e-05,3.80416e-05,3.80416e-05
88,3909.54,0.74411,1.74604,1.14688,0.60489,0.33793,0.39083,0.33651,0.70649,1.83921,1.21332,3.55072e-05,3.55072e-05,3.55072e-05
89,3950.52,0.75853,1.71573,1.14408,0.61451,0.33634,0.38585,0.33225,0.69496,1.83943,1.20504,3.29728e-05,3.29728e-05,3.29728e-05
90,3991.65,0.7487,1.75004,1.14443,0.61449,0.33726,0.3911,0.33586,0.70004,1.83416,1.20882,3.04384e-05,3.04384e-05,3.04384e-05
91,4058.42,0.66971,1.84117,1.1851,0.66096,0.33257,0.38735,0.33148,0.71231,1.83463,1.22647,2.7904e-05,2.7904e-05,2.7904e-05
92,4099.61,0.66306,1.83173,1.17374,0.78211,0.32004,0.38364,0.32797,0.70515,1.83965,1.22167,2.53696e-05,2.53696e-05,2.53696e-05
93,4140.11,0.65059,1.83469,1.15616,0.78322,0.32023,0.38274,0.32831,0.70819,1.83286,1.21836,2.28352e-05,2.28352e-05,2.28352e-05
94,4181.26,0.65851,1.83062,1.16555,0.78199,0.32292,0.38191,0.32863,0.70538,1.8293,1.21613,2.03008e-05,2.03008e-05,2.03008e-05
95,4222.01,0.64981,1.81304,1.17391,0.77999,0.32348,0.38088,0.32847,0.70221,1.82611,1.21247,1.77664e-05,1.77664e-05,1.77664e-05
96,4263.05,0.63733,1.80859,1.15348,0.71216,0.3256,0.38154,0.32998,0.70058,1.82346,1.21169,1.5232e-05,1.5232e-05,1.5232e-05
97,4304.47,0.6425,1.81951,1.15961,0.75289,0.32346,0.39308,0.33822,0.69691,1.82381,1.20738,1.26976e-05,1.26976e-05,1.26976e-05
98,4345.66,0.64718,1.80867,1.15682,0.71964,0.3254,0.38294,0.33221,0.69618,1.82348,1.20777,1.01632e-05,1.01632e-05,1.01632e-05
99,4386.83,0.63925,1.80701,1.15912,0.79858,0.32334,0.39088,0.33752,0.69604,1.81841,1.20651,7.6288e-06,7.6288e-06,7.6288e-06
100,4427.88,0.63187,1.80713,1.14898,0.80716,0.32124,0.3869,0.33686,0.69436,1.82033,1.20378,5.0944e-06,5.0944e-06,5.0944e-06
